date,token_symbol,token_name,open,high,low,close,volume,market_cap,source
2025-11-16,BITCOIN,,95556.87000000,96564.19000000,92971.17000000,94177.07000000,71086235862.00,1878796595873.00,CoinMarketCap
2025-11-15,BITCOIN,,94420.47000000,96728.47000000,94420.47000000,95549.15000000,38500716654.00,1906091949063.00,CoinMarketCap
2025-11-14,BITCOIN,,99694.71000000,99804.43000000,94000.73000000,94397.79000000,114346441890.00,1883576225587.00,CoinMarketCap
2025-11-13,BITCOIN,,101674.15000000,104005.49000000,97988.72000000,99697.49000000,101546815416.00,1988753566438.00,CoinMarketCap
2025-11-12,BITCOIN,,103011.43000000,105297.23000000,100836.61000000,101663.19000000,64347179408.00,2028193369222.00,CoinMarketCap
2025-11-11,BITCOIN,,105996.86000000,107428.26000000,102457.33000000,102997.47000000,71130078574.00,2054823782941.00,CoinMarketCap
2025-11-10,BITCOIN,,104723.77000000,106564.70000000,104350.65000000,105996.60000000,69585887229.00,2114307338735.00,CoinMarketCap
2025-11-09,BITCOIN,,102278.98000000,105418.37000000,101468.88000000,104719.64000000,59679243013.00,2088873006729.00,CoinMarketCap
2025-11-08,BITCOIN,,103371.70000000,103373.56000000,101458.04000000,102282.11000000,51446691095.00,2040075678640.00,CoinMarketCap
2025-11-07,BITCOIN,,101286.24000000,104052.92000000,99257.06000000,103372.41000000,92168030081.00,2061830246983.00,CoinMarketCap
2025-11-06,BITCOIN,,103893.67000000,104147.30000000,100336.87000000,101301.29000000,63932752861.00,2020190184567.00,CoinMarketCap
2025-11-05,BITCOIN,,101579.24000000,104534.70000000,98989.92000000,103891.84000000,77584934804.00,2072068578561.00,CoinMarketCap
2025-11-04,BITCOIN,,106541.42000000,107264.88000000,98962.06000000,101590.52000000,110967184773.00,2025909299235.00,CoinMarketCap
2025-11-03,BITCOIN,,110646.91000000,110764.92000000,105336.36000000,106547.52000000,72852006359.00,2124870430622.00,CoinMarketCap
2025-11-02,BITCOIN,,110064.43000000,111167.31000000,109523.46000000,110639.63000000,34284209459.00,2206703485501.00,CoinMarketCap
2025-11-01,BITCOIN,,109558.63000000,110574.90000000,109372.95000000,110064.02000000,25871668762.00,2195031469846.00,CoinMarketCap
2025-10-31,BITCOIN,,108304.41000000,111031.82000000,108288.27000000,109556.16000000,60090359560.00,2184893745051.00,CoinMarketCap
2025-10-30,BITCOIN,,110059.20000000,111612.35000000,106376.69000000,108305.55000000,69673964814.00,2159806960808.00,CoinMarketCap
2025-10-29,BITCOIN,,112921.33000000,113642.72000000,109368.72000000,110055.30000000,62192043469.00,2194776069999.00,CoinMarketCap
2025-10-28,BITCOIN,,114129.09000000,116078.99000000,112291.68000000,112956.17000000,64528066504.00,2251805068453.00,CoinMarketCap
2025-10-27,BITCOIN,,114479.85000000,116273.31000000,113882.29000000,114119.32000000,61761358733.00,2275835954529.00,CoinMarketCap
2025-10-26,BITCOIN,,111639.05000000,115260.91000000,111268.49000000,114472.44000000,41708524143.00,2282777872259.00,CoinMarketCap
2025-10-25,BITCOIN,,111032.61000000,111947.70000000,110704.41000000,111641.73000000,24707667305.00,2226078132793.00,CoinMarketCap
2025-10-24,BITCOIN,,110069.35000000,111842.53000000,109770.15000000,111033.92000000,48160816980.00,2213928828746.00,CoinMarketCap
2025-10-23,BITCOIN,,107679.44000000,111288.59000000,107548.43000000,110069.72000000,54944076060.00,2194660092835.00,CoinMarketCap
2025-10-22,BITCOIN,,108491.53000000,109115.14000000,106778.00000000,107688.59000000,80807013218.00,2146962722155.00,CoinMarketCap
2025-10-21,BITCOIN,,110587.63000000,113996.35000000,107534.75000000,108476.89000000,101194375480.00,2163102017753.00,CoinMarketCap
2025-10-20,BITCOIN,,108667.44000000,111711.03000000,107485.01000000,110588.93000000,63507793085.00,2204868785655.00,CoinMarketCap
2025-10-19,BITCOIN,,107204.31000000,109488.99000000,106157.79000000,108666.71000000,47657008953.00,2166469140315.00,CoinMarketCap
2025-10-18,BITCOIN,,106483.74000000,107490.98000000,106387.45000000,107198.27000000,37779905278.00,2137288778463.00,CoinMarketCap
2025-10-17,BITCOIN,,108179.13000000,109235.81000000,103598.43000000,106467.79000000,99703051669.00,2122869968032.00,CoinMarketCap
2025-10-16,BITCOIN,,110782.17000000,111990.81000000,107537.03000000,108186.04000000,87306423067.00,2156578744338.00,CoinMarketCap
2025-10-15,BITCOIN,,113113.97000000,113622.38000000,110235.84000000,110783.17000000,72574132855.00,2208376792809.00,CoinMarketCap
2025-10-14,BITCOIN,,115264.88000000,115502.88000000,110029.49000000,113118.67000000,92212917403.00,2254859843996.00,CoinMarketCap
2025-10-13,BITCOIN,,115161.68000000,116020.49000000,113821.19000000,115271.08000000,71582026739.00,2297709116995.00,CoinMarketCap
2025-10-12,BITCOIN,,110811.51000000,115805.07000000,109715.54000000,115169.76000000,93710414091.00,2295493500275.00,CoinMarketCap
2025-10-11,BITCOIN,,113236.43000000,113429.72000000,109760.56000000,110807.88000000,110236934340.00,2208782640084.00,CoinMarketCap
